,GRB,B_o,B_o_uncert,epoch_start,epoch_end,A_V,A_V_uncert,host_model,reduced_chi2,probability,time_start,time_end,time_mid,Trigger Number
0,050525A,1.31,0.05,4.2658,4.2713,0.735,0.061,MW,0.66,0.7471483934,18441.65953791009,18676.69385644388,18559.176697176983,130088
1,050525A,0.42,0.05,2.8445,2.8609,0.032,0.018,MW,0.08,0.9887139012,699.0367367619771,725.938784607024,712.4877606845005,130088
2,050525A,0.85,0.32,2.8938,2.9085,0.05,0.103,MW,2.07,0.08183840891,783.0689431433756,810.0279416803508,796.5484424118631,130088
3,050820A,1.63,0.2,3.8597,3.8768,0.056,0.138,MW,0.71,0.5852476346,7239.357102423042,7530.087105475891,7384.722103949467,151207
4,050820A,1.52,0.11,4.1644,4.1818,0.0,0.019,MW,1.21,0.3023304555,14601.584968117855,15198.474529284791,14900.029748701323,151207
5,050820A,1.83,0.08,4.2122,4.233,0.013,0.029,LMC,0.08,0.9809999857,16300.465239848441,17100.15315090286,16700.309195375652,151207
6,050820A,2.0,0.09,4.2529,4.2648,0.026,0.021,MW,0.53,0.7123386813,17901.935992650087,18399.24489796672,18150.590445308404,151207
7,060607A,0.89,0.14,3.8614,3.8776,0.318,0.038,MW,0.14,0.9673711457,7267.750338103239,7543.970821979903,7405.860580041572,213823
8,060607A,1.78,0.2,4.168,3.8776,0.155,0.082,MW,1.56,0.141221703,14723.125024327193,7543.970821979903,11133.547923153548,213823
9,060607A,1.51,0.07,3.148,3.1629,0.223,0.027,MW,0.46,0.7617584356,1406.0475241299143,1455.1239873242425,1430.5857557270783,213823
10,070419A,-2.0,0.99,3.4452,3.4666,0.556,0.257,MW,1.04,0.392141732,2787.404520323769,2928.195035574271,2857.7997779490197,276205
11,070419A,-1.86,1.01,3.4561,3.4722,0.608,0.329,MW,2.11,0.076496007,2858.2486036727378,2966.1970592694383,2912.2228314710883,276205
12,070419A,-1.95,0.78,3.5545,3.5705,0.883,0.224,MW,0.97,0.444954024,3585.0894827655493,3719.632211619559,3652.360847192554,276205
13,071010A,2.39,0.25,5.3928,5.3992,0.146,0.216,LMC,0.4,0.3332520292,247058.6136038433,250726.36247771216,248892.48804077774,293707
14,071010A,3.08,0.2,4.8855,4.8978,0.0,0.024,LMC,1.03,0.4166992274,76824.54556792675,79031.45908644708,77928.00232718691,293707
15,071112C,0.72,0.6,2.1106,2.1206,0.0,0.038,SMC,0.09,0.9865769939,129.0030564217989,132.0079236192256,130.50549002051224,296504
16,071112C,0.7,0.02,2.1598,2.1744,0.167,0.005,SMC,0.0,0.999999798,144.47742743801024,149.41699574067007,146.94721158934016,296504
17,071112C,1.24,0.81,2.8363,2.8519,0.013,0.369,SMC,1.93,0.06001683288,685.9619085293151,711.0497695423427,698.5058390358289,296504
18,071112C,0.52,0.21,4.53,2.8519,0.002,0.153,MW,1.28,0.2568467911,33884.415613920275,711.0497695423427,17297.732691731308,296504
19,071112C,0.44,0.26,4.555,2.8519,0.0,0.134,MW,1.55,0.1837462267,35892.193464500495,711.0497695423427,18301.621617021417,296504
20,071112C,0.25,0.01,4.578,2.8519,0.107,0.006,SMC,0.0,0.9999995195,37844.258471709356,711.0497695423427,19277.654120625848,296504
21,071112C,2.32,0.85,6.176,2.8519,0.0,75.113,LMC,0.07,0.9901564439,1499684.835502374,711.0497695423427,750197.9426359582,296504
22,071112C,-0.86,0.76,2.7998,2.8108,0.166,0.2,SMC,0.45,0.811156487,630.6668447802118,646.844664171722,638.7557544759669,296504
23,071112C,-0.84,0.35,2.8445,2.8519,0.627,0.119,SMC,0.07,0.996506375,699.0367367619771,711.0497695423427,705.0432531521599,296504
24,071112C,-0.51,0.46,4.4444,4.455,0.329,0.288,LMC,0.13,0.993100448,27822.746576751222,28510.182675039097,28166.46462589516,296504
