,GRB,red_chi_sq,category
0,050525A,79.21108538350218,outlier
1,050820A,4.090176245563954,outlier
2,060607A,9.612156611278388,outlier
3,070419A,0.005055596311686733,within range
4,071112C,41.127920441495434,outlier
5,080319B,18.189071728641505,outlier
6,080413B,1.0900483475277258,within range
7,100814A,43.74009181796314,outlier
8,100901A,78.03315003676617,outlier
9,101219B,91.82646995651723,outlier
10,110205A,16.734960694416735,outlier
11,110213A,20.400005663797003,outlier
12,110918A,0.3580383570315038,within range
13,111209A,2.507943463195858,within range
14,111228A,3.1693274957631776,outlier
15,120119A,4.048847895578053,outlier
16,120327A,16.408463267224487,outlier
17,120404A,15.804856045589771,outlier
18,120711A,3.148770352216693,outlier
19,120815A,1.6068155086706497,within range
20,121217A,1120.9106675990488,outlier
21,130418A,0.2936506753688261,within range
22,130420A,0.11475630305262406,within range
23,130427A,21.459230497018545,outlier
24,130702A,32.37191110447834,outlier
25,130831A,5.229157786890263,outlier
26,130907A,0.12395125146605566,within range
27,140226A,3.396383321156867,outlier
28,140419A,20.75315715622077,outlier
29,140508A,8.978576212932712,outlier
30,140518A,3.0650658692678743,outlier
31,140629A,1.116994818407515,within range
32,141220A,4.490997719601265,outlier
33,150424A,5.196934458864515,outlier
34,160625B,11.105439314288715,outlier
35,161023A,171.37646291749144,outlier
36,161219B,43.217987708919956,outlier
37,170519A,0.1049061950099555,within range
38,170705A,0.830049551363418,within range
39,171205A,29.288063256546366,outlier
40,201015A,3.6898578491071965,outlier
41,210104A,9.124007392180399,outlier
42,210204A,0.579647496462538,within range
43,210610B,6.594351621640591,outlier
